name,naam
score,score
lines,lijnen
level,niveau
combo,combo
english,Engels
spanish,Spaans
language options,taalopties
current language,huidige taal
start game,spel starten
press '?' for help,druk op '?' voor hulp
start,start
high scores,topscores
options,opties
exit,afsluiten
credits,credits
language options,taalopties
input options,invoeropties
keyboard inputs,toetsenbordinvoer
gamepad inputs,gamepadinvoer
enter a number between 8x8 and 25x22,voer een getal in tussen 8x8 en 25x22
e.g. 10x20,bijv. 10x20
must be two numbers seperated by an 'x' between 8x8 and 25x22,moeten twee getallen zijn gescheiden door een 'x' tussen 8x8 en 25x22
scroll here to modify field,scroll hier om het veld te wijzigen
volume up,volume omhoog
volume down,volume omlaag
left,links
right,rechts
down,omlaag
counter clockwise,tegen de klok in
clockwise,met de klok mee
quick drop,snelle val
quit,stoppen
next song,volgend nummer
pause game,spel pauzeren
decrease volume,volume verlagen
increase volume,volume verhogen
enter,enter
programming,programmeren
photography,fotografie
3d modeling,3D-modellering
artwork,illustraties
sound engineering,geluidstechniek
featuring music by,muziek van
special thanks,speciale dank
sound effects,geluidseffecten
uses,gebruikt
game over,game over
must be a number between 15 and 80,moet een getal tussen 15 en 80 zijn
enter a number between 15 and 80,voer een getal in tussen 15 en 80
input repeat rate,invoerherhalingssnelheid
must be a number between 50 and 300,moet een getal tussen 50 en 300 zijn
enter a number between 50 and 300,voer een getal in tussen 50 en 300
input delay,invoervertraging
board size,bordgrootte
guide grid on,hulpraster aan
french,Frans
german,Duits
portuguese,Portugees
russian,Russisch
japanese,Japans
chinese,Chinees
italian,Italiaans
korean,Koreaans
polish,Pools
dutch,Nederlands
turkish,Turks
ukrainian,Oekraïens
